date,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
2017-08-17,0.1,0.08,0.34,0.34,0.03,0.06,0.13,0.06,0.06,0.08,0.0,0.08,0.03,0.13,0.03,0.06,0.23,0.0,0.23,0.08,0.0,0.16,0.06,0.34,0.13,,0.08,0.06,0.1,,0.13,0.34,0.0,0.0,,0.01,0.0,0.0,0.23,0.16,,0.0,,,0.26,0.23,0.34,0.26,0.1,0.03,0.0,0.0,0.01,0.0,,0.0,0.06,0.06,0.01,0.06,0.23,0.0,0.23,
2017-08-18,0.31,,0.05,0.05,0.23,0.01,,,,,0.0,,0.23,,0.23,,0.0,,0.0,,0.0,0.18,0.0,0.05,,,,0.0,0.31,0.03,,0.05,,,,0.0,0.0,0.0,0.0,0.18,,0.0,,,0.0,0.0,0.05,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.01,0.0,,0.0,,0.0,
2017-08-19,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.01,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,,0.0,,0.0,
2017-08-20,0.0,,1.17,1.17,0.0,0.0,,0.07,0.07,,0.0,,0.0,,0.0,0.07,0.77,,0.77,,0.0,0.0,0.92,1.17,,,,0.92,0.0,0.07,,1.17,,,,0.0,0.0,0.0,0.77,0.0,,0.0,,,0.0,0.77,1.17,0.0,0.0,0.0,0.0,0.17,,0.0,0.07,0.0,0.92,0.0,,0.07,0.77,,0.77,
2017-08-21,0.0,,0.12,0.12,0.0,0.02,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.01,0.16,0.12,,,,0.16,0.0,0.0,,0.12,,,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.16,0.02,0.55,,0.0,,0.0,0.01
2017-08-22,0.0,0.45,0.03,0.03,0.03,0.0,,,,0.45,1.3,0.45,0.03,,0.03,,0.04,,0.04,0.45,1.3,0.0,0.0,0.03,,,0.45,0.0,0.0,0.07,,0.03,,,0.0,0.0,1.3,0.2,0.04,0.0,0.0,1.3,0.0,,0.11,0.04,0.03,0.11,0.0,0.0,0.0,0.48,,1.3,0.07,0.0,0.0,0.0,,,0.04,,0.04,0.0
2017-08-23,0.08,,0.0,0.0,0.63,1.68,0.17,,,,0.0,,0.63,0.17,0.63,,0.43,,0.43,,0.0,0.0,0.0,0.0,0.17,,,0.0,0.08,0.19,0.17,0.0,,,,0.0,0.0,0.34,0.43,0.0,,0.0,,,0.04,0.43,0.0,0.04,0.08,0.19,0.0,0.3,,0.0,0.19,0.0,0.0,1.68,,,0.43,,0.43,
2017-08-24,0.0,0.02,,,0.03,0.37,0.35,0.07,0.07,0.02,0.15,0.02,0.03,0.35,0.03,0.07,0.0,,0.0,0.02,0.15,0.0,0.0,,0.35,,0.02,0.0,0.0,0.05,0.35,,,,,0.0,0.15,0.0,0.0,0.0,,0.15,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.15,0.05,0.07,0.0,0.37,,0.07,0.0,,0.0,
2017-08-25,0.02,0.01,,,0.0,0.66,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,0.0,0.01,0.1,,0.0,0.0,0.01,0.1,0.02,0.0,0.0,,,,,0.0,0.0,0.11,0.0,0.01,,0.0,,0.0,0.0,0.0,,0.0,0.02,0.02,0.0,0.63,,0.0,0.0,0.0,0.1,0.66,,0.0,0.0,,0.0,
2017-08-26,0.26,,0.27,0.27,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.34,0.27,,,,0.34,0.26,,,0.27,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.27,0.0,0.26,0.27,0.0,0.0,,0.0,,0.0,0.34,0.0,,,0.0,,0.0,
2017-08-27,0.4,0.13,0.55,0.55,0.03,0.27,,0.02,0.02,0.13,0.0,0.13,0.03,,0.03,0.02,0.0,,0.0,0.13,0.0,0.03,0.44,0.55,,0.04,0.13,0.44,0.4,1.29,,0.55,,,,0.0,0.0,0.18,0.0,0.03,,0.0,,0.04,0.0,0.0,0.55,0.0,0.4,0.14,0.0,0.0,0.31,0.0,1.29,0.0,0.44,0.27,0.31,0.02,0.0,,0.0,
2017-08-28,2.57,1.52,0.09,0.09,0.28,1.77,0.25,0.02,0.02,1.52,0.07,1.52,0.28,0.25,0.28,0.02,0.19,0.1,0.19,1.52,0.07,0.51,2.32,0.09,0.25,0.03,1.52,2.32,2.57,0.45,0.25,0.09,0.1,0.1,,0.16,0.07,0.3,0.19,0.51,,0.07,,0.03,0.77,0.19,0.09,0.77,2.57,1.65,0.0,0.25,0.51,0.07,0.45,0.05,2.32,1.77,0.51,0.02,0.19,0.1,0.19,
2017-08-29,3.26,0.0,0.28,0.28,1.93,2.83,0.1,0.0,0.0,0.0,0.07,0.0,1.93,0.1,1.93,0.0,2.1,0.02,2.1,0.0,0.07,2.54,4.6,0.28,0.1,0.45,0.0,4.6,3.26,1.43,0.1,0.28,0.02,0.02,0.01,3.49,0.07,2.78,2.1,2.54,0.01,0.07,0.01,0.45,2.45,2.1,0.28,2.45,3.26,3.28,0.0,1.19,1.12,0.07,1.43,0.22,4.6,2.83,1.12,0.0,2.1,0.02,2.1,0.01
2017-08-30,0.61,1.34,1.16,1.16,0.87,1.83,0.11,1.12,1.12,1.34,0.0,1.34,0.87,0.11,0.87,1.12,0.82,0.09,0.82,1.34,0.0,1.42,1.14,1.16,0.11,0.1,1.34,1.14,0.61,0.0,0.11,1.16,0.09,0.09,0.0,1.44,0.0,1.13,0.82,1.42,0.0,0.0,0.0,0.1,2.47,0.82,1.16,2.47,0.61,2.59,0.0,2.09,0.34,0.0,0.0,0.17,1.14,1.83,0.34,1.12,0.82,0.09,0.82,0.0
2017-08-31,0.07,1.05,0.71,0.71,1.99,2.45,0.1,2.3,2.3,1.05,1.74,1.05,1.99,0.1,1.99,2.3,0.12,1.87,0.12,1.05,1.74,1.95,0.12,0.71,0.1,0.05,1.05,0.12,0.07,0.09,0.1,0.71,1.87,1.87,,0.24,1.74,0.2,0.12,1.95,,1.74,,0.05,0.24,0.12,0.71,0.24,0.07,0.24,0.0,0.28,0.48,1.74,0.09,2.36,0.12,2.45,0.48,2.3,0.12,1.87,0.12,
2017-09-01,0.61,0.11,0.62,0.62,1.32,0.04,0.08,0.0,0.0,0.11,0.11,0.11,1.32,0.08,1.32,0.0,0.0,0.25,0.0,0.11,0.11,0.22,0.06,0.62,0.08,,0.11,0.06,0.61,0.0,0.08,0.62,0.25,0.25,,0.0,0.11,0.0,0.0,0.22,,0.11,,,0.28,0.0,0.62,0.28,0.61,0.24,0.0,0.07,,0.11,0.0,1.73,0.06,0.04,,0.0,0.0,0.25,0.0,
2017-09-02,0.0,0.0,0.22,0.22,0.0,0.0,0.05,,,0.0,0.0,0.0,0.0,0.05,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.22,0.05,,0.0,0.01,0.0,0.21,0.05,0.22,0.02,0.02,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,,0.0,0.21,0.0,0.01,0.0,,,0.0,0.02,0.0,
